original_name,french_name,RICname
possessions des etats-unis en océanie,Océanie américaine,American Oceania
possessions espagne,Colonies espagnoles,Spanish Colonies
possessions espagnoles en amérique,Amérique espagnole,Spanish America
possessions etrangeres des indes occidentales,Antilles (sauf Antilles danoises),Antilles (other)
possessions fraçaises dans l'inde,Inde française,French India
possessions françaises d'amérique,Amérique française,French America
possessions françaises dans l'inde,Inde française,French India
possessions françaises d'asie,Asie française,French Asia
possessions françaises d'asie**,Asie française,French Asia
possessions françaises en afrique,Afrique française,French Africa
possessions françaises en afrique_ algérie,Algérie,Algeria
possessions françaises en océanie,Océanie française,French Oceania
possessions france,Colonies françaises,French Colonies
possessions france west africa,Afrique occidentale française,French West Africa
possessions hollandaises d'amérique,Antilles néerlandaises,Netherlands Antilles
possessions hollandaises d'amérique**,Antilles néerlandaises,Netherlands Antilles
possessions hollandaises en amérique,Antilles néerlandaises,Netherlands Antilles
possessions in india (goa) (portugal),Inde portugaise,Portuguese India (incl. Goa Diu Daman)
possessions italie,Colonies italiennes,Italian Colonies
possessions néerlandaises,Colonies hollandaises,Dutch Colonies
possessions pays bas,Colonies hollandaises,Dutch Colonies
possessions pays-bas,Colonies hollandaises,Dutch Colonies
possessions portuagaises,Colonies portugaises,Portuguese Colonies
possessions portugaises,Colonies portugaises,Portuguese Colonies
possessions portugaises - angola,Angola,Angola
possessions portugaises d'afrique,Afrique portugaise,Portuguese Africa
possessions portugaises d'afrique et d'asie),Afrique portugaise et Inde portugaise,Portuguese Africa & Portuguese India (incl. Goa Diu Daman)
possessions portugaises d'afrique**,Afrique portugaise,Portuguese Africa
possessions portugaises d'asie,Asie portugaise,Portuguese Asia
possessions portugaises en afrique,Afrique portugaise,Portuguese Africa
possessions portugaises en asie,Asie portugaise,Portuguese Asia
possessions portugal,Colonies portugaises,Portuguese Colonies
possessions portuguaises,Colonies portugaises,Portuguese Colonies
possessions portuguaises d amerique: bresil,Brésil,Brazil
possessions portuguaises d'afrique,Afrique portugaise,Portuguese Africa
possessions portuguaises d'afrique: açores et madère,Madère et Açores,Azores (Western Isles) & Madeira Isles
possessions portuguaises d'afrique: autres,Afrique portugaise (Autre),Portuguese Africa (other)
possessions portuguaises d'asie,Asie portugaise,Portuguese Asia
possessions portuguaises d'asie et d'afrique,Afrique portugaise et Asie portugaise,Portuguese Africa & Portuguese Asia
possessions potugaises,Colonies portugaises,Portuguese Colonies
possessions suédoises en amérique,Amérique suédoise,Swedish America
possessiosn espagne,Colonies espagnoles,Spanish Colonies
possesssions hollandaises en amérique,Antilles néerlandaises,Netherlands Antilles
potuguese africa,Afrique portugaise,Portuguese Africa
poulo-pinang,Pinang,Penang
"poulo-pinang, malacca",Pinang et Malacca,Malacca & Penang
pour compte gouvernement hollandais,Gouvernement hollandais,Dutch government
prince edward is.,Ile du Prince Edouard,Prince Edward Is.
prince edward island,Ile du Prince Edouard,Prince Edward Is.
prince edward island (british north america),Ile du Prince Edouard,Prince Edward Is.
prince edward island (north america),Ile du Prince Edouard,Prince Edward Is.
principauté danube,Moldavie et Valachie,Moldavia & Wallachia
principautés danubiennes,Moldavie et Valachie,Moldavia & Wallachia
protected malay states,Etats non fédérés de Malaisie,Johore & Kedah & Kelantan & Perlis & Trengganu
protectorate of northern nigeria,Nigéria du Nord,Northern Nigeria
protectorate of southern nigeria,Nigéria du Sud,Southern Nigeria
protectorate of southern nigeria (west africa),Nigéria du Sud,Southern Nigeria
province du canada,Canada,Canada
province du cap et natal,Colonie du Cap et Natal,Cape Colony & Natal
provinces danubiennes,Moldavie et Valachie,Moldavia & Wallachia
provincias del rio de la plata,Etats du Rio de La Plata,Viceroyalty of La Plata
prusia,Prusse,Prussia
prusse,Prusse,Prussia
prusse (association commerciale allemande),Prusse,Prussia
prusse (coeslin),Prusse (Coeslin),Koszalin
prusse (dantzig),Prusse (Dantzig),Danzig
"prusse (frisch-haff : koenigsberg, pillau, braunsberg, fischhausen...)","Prusse (Frisch-Haff : Koenigsberg, Pillau, Braunsberg, Fischhausen...)",Baltiysk (Pillau) & Braniewo (Braunsberg) & Kaliningrad (Königsberg) & Primorsk (Fischhausen)
prusse (frisch-haff dont koenigsberg),Prusse (Frisch-Haff dont Koenigsberg),Kaliningrad (Königsberg)
prusse (frisch-haff),Prusse (Frisch-Haff),Kaliningrad (Königsberg)
prusse (koenigsberg),Prusse (Koenigsberg),Kaliningrad (Königsberg)
prusse (memel),Prusse (Memel),Klaipėda (Memel)
prusse (par terre et voie fluviale),Prusse (par terre et voie fluviale),Prussia (by sea and river)
"prusse (poméranie : stettin, coeslin, stralsund))","Prusse (Poméranie : Stettin, Coeslin, Stralsund))",Koszalin & Stralsund & Szczecin
prusse (poméranie),Prusse (Poméranie),Pomerania
prusse (stettin),Prusse (Stettin),Szczecin
prusse (stralsund),Prusse (Stralsund),Stralsund
prusse et allemagne septentrionale,Prusse et Allemagne du Nord,North Germany & Prussia
prusse et etats d'allemagne,Prusse et Etats d'Allemagne (Autre),Germany (other) & Prussia
prusse et oldenbourg (voie de mer),Prusse et Oldenbourg (voie de mer),Oldenburg & Prussia
prusse(memel),Prusse(Memel),Klaipėda (Memel)
prusse**,Prusse,Prussia
"prusse, hanovre, mecklembourg etc. (sic)",Prusse et Hanovre et Mecklembourg,Hanover & Mecklenburg Schwerin & Prussia
prussia,Prusse,Prussia
prussia &c,Prusse et Autre,Other countries & Prussia
prussia and all other,Prusse et Autre,Other countries & Prussia
prussia and all other north german,Prusse et Autre Allemagne du Nord,North Germany & Prussia
prussia and all other north germany,Prusse et Autre Allemagne du Nord,North Germany & Prussia
"prussia, &c",Prusse et Autre,Other countries & Prussia
puerto rico,Porto Rico,Puerto Rico
pungah,Pungah,Pungah
punta-arénas,Chili (Punta-Arénas),Punta Arenas
"quebec, ontario,  &c",Québec et Ontario et Manitoba et Rupert's Land et Northwest Territory,Quebec (Lower Canada) & Ontario (Upper Canada) & Manitoba & Rupert's Land & Northwest Territories
"quebec, ontario,  manitoba, rupert's land, and northwest territory",Québec et Ontario et Manitoba et Rupert's Land et Northwest Territory,Quebec (Lower Canada) & Ontario (Upper Canada) & Manitoba & Rupert's Land & Northwest Territories
"quebec, ontario, &c",Québec et Ontario et Manitoba et Rupert's Land et Northwest Territory,Quebec (Lower Canada) & Ontario (Upper Canada) & Manitoba & Rupert's Land & Northwest Territories
"quebec, ontario, manitoba, &c",Québec et Ontario et Manitoba et Rupert's Land et Northwest Territory,Quebec (Lower Canada) & Ontario (Upper Canada) & Manitoba & Rupert's Land & Northwest Territories
"quebec, ontario, manitoba, and north-west territory (dominion of canada)",Québec et Ontario et Manitoba et Rupert's Land et Northwest Territory,Quebec (Lower Canada) & Ontario (Upper Canada) & Manitoba & Rupert's Land & Northwest Territories
"quebec, ontario, manitoba, etc. (dominion of canada)",Québec et Ontario et Manitoba et Rupert's Land et Northwest Territory,Quebec (Lower Canada) & Ontario (Upper Canada) & Manitoba & Rupert's Land & Northwest Territories
"quebec, ontario, manitoba, northwest territory (canada)",Québec et Ontario et Manitoba et Rupert's Land et Northwest Territory,Quebec (Lower Canada) & Ontario (Upper Canada) & Manitoba & Rupert's Land & Northwest Territories
"quebec, ontario, manitoba, rupert's land and northwest territory",Québec et Ontario et Manitoba et Rupert's Land et Northwest Territory,Quebec (Lower Canada) & Ontario (Upper Canada) & Manitoba & Rupert's Land & Northwest Territories
quedah,Quedah,Kedah
queensland,Queensland,Queensland
queensland (australia),Queensland,Queensland
quilimane,Quilimane,Quelimane
r. niger,Niger,Niger
rangoon,Birmanie (Rangoon),Rangoon
rangoon et moulmain,Birmanie (Rangoon et Moulmein),Mawlamyine & Rangoon
"rangoon, moulmain, arracan",Birmanie (Moulmein et Rangoon et Pegu et Aracan),Aracan & Bago (Pegu) & Mawlamyine & Rangoon
rangoun,Birmanie (Rangoon),Rangoon
régence,Tripoli,Libya (Tripolitania Cyrenaica Fezzan)
régence de tripoli et maroc,Tripoli et Maroc,Morocco & Libya (Tripolitania Cyrenaica Fezzan)
régence de tunis,Tunis,Tunis
régence de tunis (port la goulette),Tunis (La Goulette),Tunis
régence et etats barbaresques,Etats Barbaresques (Autre) et Tripoli,Barbary Coast (other) & Libya (Tripolitania Cyrenaica Fezzan)
régences barbaresques,Etats Barbaresques,Barbary Coast
régende de tripoli,Tripoli,Libya (Tripolitania Cyrenaica Fezzan)
rep. dominicaine,République dominicaine,Dominican Republic (Santo Domingo)
rép. dominicaine,République dominicaine,Dominican Republic (Santo Domingo)
republic of colombia,Colombie,Colombia (Gran Colombia)
republic of haiti,Haïti,Haiti
republic of honduras,Honduras,Honduras
republica argentina,Argentine,Argentina
republica de chile,Chili,Chile
republica de goatemala,Guatemala,Guatemala
republica de haiti,Haïti,Haiti
republica de la plata,Etats du Rio de La Plata,Viceroyalty of La Plata
republica de los estados unidos,Etats-Unis,United States of America
republica de méjico,Mexique,Mexico
republica de nueva granada,Nouvelle-Grenade,Colombia (Gran Colombia)
republica de venezuela,Venezuela,Venezuela
republica del ecuador,Equateur,Ecuador
republica del peru,Pérou,Peru
republica del rio de la plata,Etats du Rio de La Plata,Viceroyalty of La Plata
republica del uruguay,Uruguay,Uruguay
république argentine,Argentine,Argentina
république argentine (cabotage),Argentine (cabotage),Argentina (other)
république argentine (la plata),Argentine (La Plata),Viceroyalty of La Plata
république de colombie (nouvelle-grenade),Colombie (Nouvelle-Grenade),Colombia (Gran Colombia)
république de l'equateur,Equateur,Ecuador
république de libéria,Liberia,Liberia
republique dominicaine,République dominicaine,Dominican Republic (Santo Domingo)
république dominicaine,République dominicaine,Dominican Republic (Santo Domingo)
république dominicaine (santo domingo),République dominicaine,Dominican Republic (Santo Domingo)
république d'orange,Orange,Orange Free State (Orange River Colony)
république orientale,Paraguay,Paraguay
république sud-africaine,République Sud-Africaine,Transvaal
républiques de l'amérique du sud,Amérique du Sud,Southern America
reunion,La Réunion,Reunion
réunion,La Réunion,Reunion
reunion (bourbon) (france),La Réunion,Reunion
rhanat de bokhava,Bokhara,Bokhara
rhio,Rhio,Riau
rhodesia,Rhodésie,Zimbabwe (Rhodesia) (Southern Rhodesia)
rhodésia,Rhodésie,Zimbabwe (Rhodesia) (Southern Rhodesia)
"rhodesia, n.e., and other surrounding territories",Rhodésie et Autre,Other countries & Zimbabwe (Rhodesia) (Southern Rhodesia)
"rhodesia, southern",Rhodésie du Sud,Zimbabwe (Rhodesia) (Southern Rhodesia)
rhodésie,Rhodésie,Zimbabwe (Rhodesia) (Southern Rhodesia)
rhodésie du n.,Rhodésie du Nord,Zambia (Northern Rhodesia)
rhodésie du nord,Rhodésie du Nord,Zambia (Northern Rhodesia)
rhodésie du s.,Rhodésie du Sud,Zimbabwe (Rhodesia) (Southern Rhodesia)
rhodésie du sud,Rhodésie du Sud,Zimbabwe (Rhodesia) (Southern Rhodesia)
rio de la plata,Etats du Rio de La Plata,Viceroyalty of La Plata
rio de la plata (buenos aires),Etats du Rio de La Plata (Buenos Aires),Buenos Aires
rio de la plata (buénos-ayres),Etats du Rio de La Plata (Buenos Aires),Buenos Aires
rio de la plata (buénos-ayres)**,Etats du Rio de La Plata (Buenos Aires),Buenos Aires
rio de la plata (etats-unis),Etats du Rio de La Plata,Viceroyalty of La Plata
rio de plata,Etats du Rio de La Plata,Viceroyalty of La Plata
rio janeiro,Rio Janeiro,Rio de Janeiro
rio-de-la-plata,Etats du Rio de La Plata,Viceroyalty of La Plata
rio-de-la-plata**,Etats du Rio de La Plata,Viceroyalty of La Plata
romagne,Italie (Romagne),Romagna
romania,Roumanie,Romania
roumania,Roumanie,Romania
roumanie,Roumanie,Romania
roumélie-orientale,Roumélie orientale,Eastern Rumelia
"roy. serbes, croates et slov.",Serbie et Croatie et Slovénie,Croatia & Slovenia & Yugoslavia/Serbia
royaume de siam,Siam,Thailand (Siam)
royaume des deux siciles,Deux-Siciles,Two Sicilies
"royaume des serbes, croates et slovènes",Yougoslavie,Yugoslavia/Serbia
royaume d'italie,Italie,Italy
royaume lombard-vénitien,Lombardie-Vénétie,Lombardy-Venetia
royaume uni,Royaume-Uni,United Kingdom
royaume uni*,Royaume-Uni,United Kingdom
royaume-uni,Royaume-Uni,United Kingdom
royaume-uni (+irlande),Royaume-Uni et Irlande,Ireland & United Kingdom
royaume-uni (y compris irlande),Royaume-Uni et Irlande,Ireland & United Kingdom
royaume-uni et colonies,Royaume-Uni et Colonies britanniques,United Kingdom & British Colonies
royaume-uni et irlande,Royaume-Uni et Irlande,Ireland & United Kingdom
rum,Roumanie,Romania
rumania,Roumanie,Romania
rus,Russie,Russia/USSR
rusia,Russie,Russia/USSR
rusia (asia),Russie d'Asie,Asian Russia
rusia asiatica,Russie d'Asie,Asian Russia
russe,Russie,Russia/USSR
russia,Russie,Russia/USSR
russia (black sea),Russie (Mer Noire),Russia (Black Sea)
russia (east white coast),Russie (Mer Blanche),Russia (White Sea)
russia (east white sea),Russie (Mer Blanche),Russia (White Sea)
russia (european frontier),Russie d'Europe,European Russia
"russia (european, asiatic and finland)",Russie d'Europe et d'Asie et Finlande,Finland & Russia/USSR
russia (including fiinland),Russie et Finlande,Finland & Russia/USSR
russia (nothern and pacific ports),Russie (Ports du Nord et du Pacifique),Russia (North and Pacific Ports)
russia (nothern ports),Russie (Ports du Nord),Russia (North Ports)
russia (pacific ports),Russie (Ports du Pacifique),Russia (Pacific Ports)
